Survived,PassengerId,firstClass,secondClass,thirdClass,Sex,under15,over55,SibSp,Parch,Fare
1,628,1,0,0,0,0,0,0,0,0.15216446768991498
0,443,0,0,1,1,0,0,1,0,0.015175789316712771
0,228,0,0,1,1,0,0,0,0,0.014151057562208049
0,279,0,0,1,1,1,0,4,1,0.056848213999904744
0,883,0,0,1,0,0,0,0,0,0.02052723131923771
0,31,1,0,0,1,0,0,0,0,0.05410739813385612
1,415,0,0,1,1,0,0,0,0,0.015468569817999833
1,581,0,1,0,0,0,0,1,1,0.05855610025741261
0,321,0,0,1,1,0,0,0,0,0.014151057562208049
1,557,1,0,0,0,0,0,1,0,0.07729405233978466
0,530,0,1,0,1,0,0,2,1,0.022446505098674834
1,880,1,0,0,0,0,1,0,1,0.16231419173453318
0,526,0,0,1,1,0,0,0,0,0.015126992566498259
0,159,0,0,1,1,0,0,0,0,0.016908073949327893
1,89,1,0,0,0,0,0,3,2,0.5133418122566505
0,423,0,0,1,1,0,0,0,0,0.015370976317570811
0,298,1,0,0,0,1,0,1,2,0.29580589980036276
0,175,1,0,0,1,0,1,0,0,0.05991421140938287
0,352,1,0,0,1,0,0,0,0,0.06831545030031472
1,62,1,0,0,0,0,0,0,0,0.15614960068643363
0,421,0,0,1,1,0,0,0,0,0.015411575213749284
0,451,0,1,0,1,0,0,1,2,0.05416439273810667
0,36,1,0,0,1,0,0,1,0,0.10149724044618187
0,891,0,0,1,1,0,0,0,0,0.015126992566498259
1,836,1,0,0,0,0,0,1,1,0.16231419173453318
0,295,0,0,1,1,0,0,0,0,0.015411575213749284
1,287,0,0,1,1,0,0,0,0,0.018542765081513996
0,712,1,0,0,1,0,0,0,0,0.051822148727810165
0,788,0,0,1,1,1,0,4,1,0.056848213999904744
0,614,0,0,1,1,0,0,0,0,0.015126992566498259
0,598,0,0,1,1,0,0,0,0,0.0
0,327,0,0,1,1,0,1,0,0,0.012174789178520372
0,103,1,0,0,1,0,0,0,1,0.15085515328815924
0,585,0,0,1,1,0,0,0,0,0.017005667449756914
1,319,1,0,0,0,0,0,0,2,0.32179836714362564
0,770,0,0,1,1,0,0,0,0,0.016322512946753766
0,366,0,0,1,1,0,0,0,0,0.014151057562208049
1,24,1,0,0,1,0,0,0,0,0.06929138530460492
1,867,0,1,0,0,0,0,1,0,0.027049600139910042
1,388,0,1,0,0,0,0,0,0,0.025374310111545468
0,812,0,0,1,1,0,0,0,0,0.04713766070721715
1,349,0,0,1,1,1,0,1,1,0.031034733136428686
1,718,0,1,0,0,0,0,0,0,0.020494635090094415
1,517,0,1,0,0,0,0,0,0,0.020494635090094415
1,805,0,0,1,1,0,0,0,0,0.013614293309848433
0,296,1,0,0,1,0,0,0,0,0.05410739813385612
0,833,0,0,1,1,0,0,0,0,0.014110458666029575
0,96,0,0,1,1,0,0,0,0,0.015712553569072387
0,466,0,0,1,1,0,0,0,0,0.013760683560491965
0,136,0,1,0,1,0,0,0,0,0.02936744577509929
0,452,0,0,1,1,0,0,1,0,0.03897240290032268
0,43,0,0,1,1,0,0,0,0,0.015411575213749284
0,90,0,0,1,1,0,0,0,0,0.015712553569072387
1,260,0,1,0,0,0,0,0,1,0.050748620223090936
0,673,0,1,0,1,0,1,0,0,0.020494635090094415
1,775,0,1,0,0,0,0,1,3,0.04489301019734967
1,193,0,0,1,0,0,0,1,0,0.015330377421392339
0,546,1,0,0,1,0,1,0,0,0.050748620223090936
1,291,1,0,0,0,0,0,0,0,0.15390495017656614
0,683,0,0,1,1,0,0,0,0,0.01800600082915438
1,311,1,0,0,0,0,0,0,0,0.16231419173453318
0,643,0,0,1,0,1,0,3,2,0.05445717323939373
0,71,0,1,0,1,0,0,0,0,0.020494635090094415
0,500,0,0,1,1,0,0,0,0,0.015216388212891242
0,537,1,0,0,1,0,0,0,0,0.051822148727810165
